Page Name,Section/Component,Element Name,Action Type,Trigger/Interaction,Expected Behavior,Key Output/Outcome,Handle Function,URL/Path,Auth/Admin Status
Homepage,Header,Logo Image,Click,User clicks on logo,Navigate to homepage,Redirect to /,Link navigation,/,No Auth
Homepage,Header,Search Bar,Form Submission,User types and submits search,Show search results,Redirect to search results,handleSearch,/search,No Auth
Homepage,Header,Search Bar,Keyboard Input,User types in search field,Show autocomplete suggestions,Display bike suggestions dropdown,onChange handler,/,No Auth
Homepage,Header,Mobile Menu Button,Click,User clicks hamburger menu,Show/hide mobile navigation,Toggle mobile menu visibility,setMobileMenuOpen,/,No Auth
Homepage,Header Navigation,BIKES Dropdown,Hover,User hovers over BIKES menu,Show dropdown with categories,Display submenu with bike options,onMouseEnter,/,No Auth
Homepage,Header Navigation,BIKES - Best Bikes,Click,User clicks Best Bikes,Navigate to best bikes page,Show best bikes listing,Link navigation,/bikes/best,No Auth
Homepage,Header Navigation,BIKES - Royal Enfield Hunter 350,Click,User clicks specific bike model,Navigate to bike details,Show bike detail page,Link navigation,/bikes/386,No Auth
Homepage,Header Navigation,BIKES - Royal Enfield Continental GT 650,Click,User clicks bike model,Navigate to bike page,Show bike details,Link navigation,/bikes/413,No Auth
Homepage,Header Navigation,BIKES - Royal Enfield Classic 350,Click,User clicks bike model,Navigate to bike page,Show bike details,Link navigation,/bikes/420,No Auth
Homepage,Header Navigation,BIKES - Hero Splendor Plus,Click,User clicks bike model,Navigate to bike page,Show bike details,Link navigation,/bikes/182,No Auth
Homepage,Header Navigation,BIKES - TVS Raider,Click,User clicks bike model,Navigate to bike page,Show bike details,Link navigation,/bikes/484,No Auth
Homepage,Header Navigation,BIKES - Upcoming Bikes,Click,User clicks upcoming bikes,Navigate to upcoming page,Show upcoming bikes,Link navigation,/upcoming-bikes,No Auth
Homepage,Header Navigation,BIKES - New Bike Launches,Click,User clicks new launches,Navigate to latest bikes,Show new launches,Link navigation,/latest-bikes,No Auth
Homepage,Header Navigation,BIKES - Compare Bikes,Click,User clicks compare menu,Navigate to comparison page,Show comparison tool,Link navigation,/compare,No Auth
Homepage,Header Navigation,SCOOTERS Dropdown,Hover,User hovers over SCOOTERS menu,Show scooter dropdown,Display scooter submenu,onMouseEnter,/,No Auth
Homepage,Header Navigation,SCOOTERS - Best Scooters,Click,User clicks best scooters,Navigate to best scooters,Show best scooters listing,Link navigation,/scooters/best,No Auth
Homepage,Header Navigation,SCOOTERS - Honda Activa 6G,Click,User clicks scooter model,Navigate to scooter details,Show scooter page,Link navigation,/bikes/230,No Auth
Homepage,Header Navigation,SCOOTERS - Suzuki Access 125,Click,User clicks scooter model,Navigate to scooter details,Show scooter page,Link navigation,/bikes/421,No Auth
Homepage,Header Navigation,ELECTRIC ZONE Dropdown,Hover,User hovers over electric menu,Show electric dropdown,Display electric options,onMouseEnter,/,No Auth
Homepage,Header Navigation,ELECTRIC ZONE - Electric Bikes,Click,User clicks electric zone,Navigate to electric bikes,Show electric vehicles,Link navigation,/electric,No Auth
Homepage,Header Navigation,BIKE FINANCE Dropdown,Hover,User hovers over finance menu,Show finance dropdown,Display finance options,onMouseEnter,/,No Auth
Homepage,Header Navigation,BIKE FINANCE - EMI Calculator,Click,User clicks EMI calculator,Navigate to calculator,Show EMI calculation tool,Link navigation,/finance/emi-calculator,No Auth
Homepage,Header Navigation,BIKE FINANCE - Loan Eligibility,Click,User clicks eligibility,Navigate to eligibility page,Show eligibility checker,Link navigation,/finance/eligibility,No Auth
Homepage,Header Navigation,USED BIKES - Sell Bike,Click,User clicks sell bike,Navigate to sell form,Show bike selling form,Link navigation,/sell-bike,User Auth Required
Homepage,Header Navigation,NEWS & VIDEOS Dropdown,Hover,User hovers over news menu,Show news dropdown,Display news options,onMouseEnter,/,No Auth
Homepage,Header Navigation,NEWS - News,Click,User clicks news,Navigate to news page,Show latest news,Link navigation,/news,No Auth
Homepage,Header Navigation,NEWS - Videos,Click,User clicks videos,Navigate to videos page,Show video content,Link navigation,/videos,No Auth
Homepage,Header Navigation,NEWS - Web Stories,Click,User clicks web stories,Navigate to web stories,Show story content,Link navigation,/web-stories,No Auth
Homepage,Header User Area,Wishlist Icon,Click,User clicks wishlist heart icon,Navigate to wishlist page,Show saved bikes,Link navigation,/dashboard/shortlisted,User Auth Required
Homepage,Header User Area,Login Button,Click,User clicks login/register,Navigate to login page,Show login form,Link navigation,/login,No Auth
Homepage,Header User Area,User Profile Avatar,Click,Authenticated user clicks profile,Show user dropdown menu,Display profile options,onClick handler,/dashboard,User Auth Required
Homepage,Hero Section,Bike Type Toggle,Click,User clicks New/Used toggle,Switch between new/used bikes,Change search context,setBikeType,/,No Auth
Homepage,Hero Section,Search Method Toggle,Click,User clicks Budget/Brand/Body-Type toggle,Switch search method,Change form fields,setSearchBy,/,No Auth
Homepage,Hero Section,Brand Dropdown,Click,User selects brand from dropdown,Filter models by brand,Update models list,setSelectedBrand,/,No Auth
Homepage,Hero Section,Model Dropdown,Click,User selects model,Set selected model,Update form state,setSelectedModel,/,No Auth
Homepage,Hero Section,Budget Range Dropdown,Click,User selects budget range,Filter bikes by price range,Set price filter,setSelectedBudget,/,No Auth
Homepage,Hero Section,Body Type Dropdown,Click,User selects bike category,Filter by body type,Set category filter,setSelectedType,/,No Auth
Homepage,Hero Section,City Dropdown,Click,User selects city for used bikes,Filter by location,Set city filter,setSelectedCity,/,No Auth
Homepage,Hero Section,Find My Bike Button,Click,User clicks search button,Execute search with filters,Redirect to results page,handleFormSubmit,/search,No Auth
Homepage,Hero Section,Hero Image Carousel,Auto-rotate,Images rotate automatically,Show next hero image,Update carousel position,useEffect timer,/,No Auth
Homepage,Brand List Section,Brand Logo Card,Click,User clicks brand logo,Navigate to brand page,Show brand bikes,Link navigation,/brands/[slug],No Auth
Homepage,Featured Bikes Section,Bike Card,Click,User clicks featured bike,Navigate to bike details,Show bike information,Link navigation,/bikes/[id],No Auth
Homepage,Featured Bikes Section,Wishlist Button,Click,User clicks heart icon on bike,Add/remove from wishlist,Toggle wishlist state,handleWishlistClick,/,User Auth Required
Homepage,Popular Scooters Section,Scooter Card,Click,User clicks scooter card,Navigate to scooter details,Show scooter page,Link navigation,/bikes/[id],No Auth
Homepage,Popular Scooters Section,Wishlist Button,Click,User clicks heart on scooter,Add/remove from wishlist,Toggle wishlist state,handleWishlistClick,/,User Auth Required
Homepage,Upcoming Bikes Section,View All Button,Click,User clicks view all upcoming,Navigate to upcoming page,Show all upcoming bikes,Link navigation,/upcoming-bikes,No Auth
Homepage,Upcoming Bikes Section,Bike Card,Click,User clicks upcoming bike,Navigate to bike details,Show bike information,Link navigation,/bikes/[id],No Auth
Homepage,Upcoming Bikes Section,Notify Me Button,Click,User clicks notify button,Show notification signup,Open notification modal,handleNotifyClick,/,No Auth
Homepage,Latest Bikes Section,View All Button,Click,User clicks view all latest,Navigate to latest bikes,Show all new launches,Link navigation,/latest-bikes,No Auth
Homepage,Latest Bikes Section,Bike Card,Click,User clicks latest bike,Navigate to bike details,Show bike information,Link navigation,/bikes/[id],No Auth
Homepage,Popular Comparisons Section,Comparison Card,Click,User clicks comparison,View specific comparison,Show comparison page,Link navigation,/compare/[bikes],No Auth
